Date	Price	Open	High	Low	Vol.	Change %
08/13/2015	3.9237	3.8827	3.9342	3.8554		1.04%
08-12-15	3.8835	3.8345	3.9157	3.8281		1.23%
08-11-15	3.8365	3.783	3.8929	3.7674		1.37%
08-10-15	3.7845	3.8447	3.8653	3.7831		-1.62%
08-07-15	3.8467	3.8662	3.895	3.8138		-0.43%
08-06-15	3.8632	3.8016	3.901	3.7936		1.59%
08-05-15	3.8026	3.7752	3.814	3.7589		0.68%
08-04-15	3.777	3.779	3.8208	3.759		-0.07%
08-03-15	3.7795	3.7531	3.7937	3.7429		0.54%
07/31/2015	3.7592	3.6836	3.7842	3.6836		2.00%
07/30/2015	3.6856	3.6549	3.6982	3.639		0.72%
07/29/2015	3.6593	3.7128	3.7218	3.6431		-1.46%
07/28/2015	3.7136	3.7305	3.7984	3.6852		-0.49%
07/27/2015	3.732	3.6821	3.7455	3.6742		1.25%
07/24/2015	3.6858	3.6071	3.6892	3.5909		2.13%
07/23/2015	3.6088	3.5226	3.6315	3.5182		2.38%
07/22/2015	3.5248	3.4678	3.5286	3.466		1.61%
07/21/2015	3.4689	3.4612	3.4823	3.4484		0.18%
07/20/2015	3.4625	3.4522	3.499	3.4481		0.30%
07/17/2015	3.452	3.4338	3.4769	3.4265		0.49%
07/16/2015	3.4353	3.4344	3.442	3.4016		-0.04%
07/15/2015	3.4367	3.4556	3.4676	3.4242		-0.60%
07/14/2015	3.4575	3.4476	3.4719	3.4281		0.24%
07/13/2015	3.4493	3.5058	3.5384	3.4405		-2.18%
07-10-15	3.5263	3.5519	3.6147	3.5148		-0.80%
07-09-15	3.5547	3.5811	3.6	3.5307		-0.81%
07-08-15	3.5837	3.5081	3.5918	3.4926		2.12%
07-07-15	3.5094	3.4698	3.5187	3.4488		1.16%
07-06-15	3.4693	3.4474	3.4894	3.4371		-0.42%
07-03-15	3.484	3.433	3.4903	3.43		1.50%
07-02-15	3.4325	3.4797	3.5016	3.426		-1.41%
07-01-15	3.4815	3.455	3.483	3.4378		0.73%
06/30/2015	3.4561	3.5022	3.5069	3.4331		-1.34%
06/29/2015	3.5031	3.4532	3.5272	3.4274		0.25%
06/26/2015	3.4944	3.5034	3.5212	3.4755		-0.29%
06/25/2015	3.5045	3.4693	3.5098	3.45		0.96%
06/24/2015	3.4713	3.4342	3.4783	3.4293		1.05%
06/23/2015	3.4353	3.4923	3.5035	3.4327		-1.70%
06/22/2015	3.4946	3.5186	3.5323	3.4844		-0.63%
06/19/2015	3.5167	3.4751	3.5229	3.4543		1.15%
06/18/2015	3.4768	3.4662	3.4949	3.4575		0.30%
06/17/2015	3.4665	3.4754	3.499	3.4407		-0.22%
06/16/2015	3.4743	3.5311	3.5438	3.465		-1.53%
06/15/2015	3.5282	3.4988	3.5378	3.4774		0.34%
06-12-15	3.5162	3.4773	3.5217	3.447		1.09%
06-11-15	3.4783	3.53	3.5597	3.4765		-1.53%
06-10-15	3.5324	3.4929	3.5332	3.4608		1.10%
06-09-15	3.494	3.5142	3.5307	3.4722		-0.60%
